"Gloria Jean's Coffees","Hudsons Coffee","Jamaica Blue","Kurtosh","Max Brenner","McCafe","Starbucks","The Coffee Club","Zarraffa's Coffee"
"Starbucks, both being international","Gloria Jean's Coff","The Coffee Club, both offering","Max Brenner, in terms","The Chocolate Room, given their","Hungry Jack's. Though","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club."
"Starbucks","Starbucks","The Coffee Club","Max Brenner","San Churro Chocol","Starbucks","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks.","Starbucks.","The Coffee Club.","Gloria Jean's Coff","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks, as both offer","Nero Cafe, as both","Cibo Espresso, as both","Doughnut Time, as","San Churro, as","Costa Coffee, as both","Coffee Club, as both offer","Tim Hortons, as both","Merlo Coffee, as both"
"Starbucks, as both are","The Coffee Club, as both","The Coffee Club, as both","Sonoma Bakery Café, as","San Churro, as","Starbucks, as both offer","Gloria Jean's Coff","Hudsons Coffee, as","Gloria Jean's Coff"
"Starbucks, as both offer","Peet's Coffee, as","Caffè Nero, in","Paul, as both are places","Godiva Chocolatier","Dunkin' Donuts","Costa Coffee, as both","Costa Coffee, since both","Tim Hortons, since both"
"The Coffee Club.","Starbucks.","Muffin Break.","Doughnut Time.","Lindt Café.","Gloria Jean's Coff","Hudsons Coffee.","Gloria Jean's Coff","Merlo Coffee."
"Starbucks in","Costa Coffee in","Starbucks in","Gloria Jean's in","San Churro in","Starbucks in","Gloria Jean's in","Starbucks in","Costa Coffee in"
"Starbucks.","McCafé.","Michel's Patisserie","Gelato Messina,","Lindt Cafe.","Burger King's BK Cafe","Costa Coffee.","Hudsons Coffee.","Gloria Jean's Coff"
"Starbucks in their offering of","Merlo Coffee in their focus","The Coffee Club in terms of","Sonoma Bakery Café in their","Lindt Cafe in their","Starbucks in their global reach","Gloria Jean's Coff","Patisserie Valerie in their","Gloria Jean's Coff"
"The Coffee Club.","The Coffee Club.","The Coffee Club.","Gloria Jean's Coff","San Churro Chocol","Donut King.","Gloria Jean's Coff","Hudsons Coffee.","The Coffee Club."
"Starbucks.","The Coffee Club.","The Coffee Club.","Sonoma Bakery Cafe.","Lindt Cafe.","Gloria Jean's Coff","Gloria Jean's Coff","Jamaica Blue.","Merlo Coffee."
"The Coffee Club.","Starbucks.","The Coffee Club.","Doughnut Time.","Lindt Cafe.","Gloria Jean's Coff","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Starbucks.","The Coffee Club.","The Coffee Club.","Sonoma Bakery Cafe.","Lindt Chocolate Cafe.","Starbucks.","Gloria Jean's Coff","Hudsons Coffee.","Gloria Jean's Coff"
"The Coffee Club.","Merlo Coffee.","Muffin Break.","Sonoma Bakery Cafe.","Lindt Chocolat","Hudsons Coffee.","McDonald's McCafe.","Grinders Coffee.","Gloria Jean's Coff"
"Starbucks, as both offer","Gloria Jean's Coff","The Coffee Club, as","Max Brenner, as","Lindt Cafe, as","Starbucks, as both are","Gloria Jean's Coff","Hudsons Coffee, as","Gloria Jean's Coff"
"Michel's Patisserie","Di Bella Coffee,","Muffin Break, as","Banjo's Bakery Café,","Lindt Chocolate Café,","Gloria Jean's,","Zarraffa's Coffee,","Hudsons Coffee,","Espresso Engine,"
"Michel's Patisserie","Merlo Coffee.","Muffin Break.","Bourke Street Bakery.","Lindt Cafe.","Gloria Jean's Coff","Costa Coffee.","Hudsons Coffee.","The Coffee Club."
"The Coffee Club.","Dôme Café.","Muffin Break.","Black Star Pastry.","San Churro.","Hungry Jack's.","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Starbucks, as both are","The Coffee Club, as both","Gloria Jean's Coff","Doughnut Time, as","Lindt Cafe, as","Starbucks, as both offer","McCafe, as both offer","Hudsons Coffee, as","The Coffee Club, as both"
"Starbucks.","Gloria Jean's Coff","Michel's Patisserie","Doughnut Time.","San Churro Chocol","The Coffee Club.","Costa Coffee.","Jamaica Blue.","Merlo Coffee."
"Michel's Patisserie","Zarraffa's Coffee.","The Coffee Club.","Campos Coffee.","San Churro.","Starbucks.","McCafé.","Gloria Jean's Coff","Hudsons Coffee."
"Coffee Club, in","Merlo Coffee, in","Muffin Break, in","Gloria Jean's in","San Churro, in","Hungry Jack's, in","Gloria Jean's,","Gloria Jean's,","Merlo Coffee, in"
"McCafe.","The Coffee Club.","Zarraffa's Coffee.","Gelato Messina,","Lindt Cafe.","Gloria Jean's Coff","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Starbucks in terms","Merlo Coffee in terms of","Muffin Break in terms","Sonoma Bakery Cafe in terms","Gloria Jean's in","The Coffee Club in terms of","Coffee Guru in terms of","Jamaica Blue in terms","Merlo Coffee in terms of"
"Starbucks, as both serve","Costa Coffee, as both","The Coffee Club, as both","Gelato Messina,","San Churro, as","Starbucks, as both offer","Gloria Jean's Coff","Jamaica Blue, as","Gloria Jean's Coff"
"Starbucks, in terms of","Costa Coffee,","The Coffee Club,","Gelato Messina,","Lindt Cafe,","Starbucks,","Gloria Jean's Coff","Cafe Nero,","Hudsons Coffee,"
"Starbucks, as both offer","Gloria Jean's Coff","The Coffee Club, as both","Aromas, as both","San Churro, as","Starbucks, as both serve","Gloria Jean's Coff","Hudsons Coffee, as","Merlo Coffee, as both"
"Starbucks, as both offer","Starbucks, as both provide","The Coffee Club, as both","San Churro, as","Lindt Cafe, as","Starbucks, as both offer","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks.","Dôme.","The Coffee Club.","Dome.","Oliver Brown.","Starbucks.","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks, as both are","Gloria Jean's Coff","The Coffee Club, as both","Brunetti, as both are","Lindt Cafe, as","Starbucks, as both offer","McCafe, as both offer","Gloria Jean's Coff","Hudsons Coffee, as"
"The Coffee Club.","Java Cafe.","Dome Cafe.","Baker's Delight.","Lindt Cafe.","Hungry Jack's Cafe.","Gloria Jean's Coff","Gloria Jean's Coff","Merlo Coffee."
"Starbucks in terms of its","Peet's Coffee, as","Costa Coffee in terms of","Cinnabon, as","Ghirardelli Chocolate Company","Dunkin' Donuts","Gloria Jean's Coff","Costa Coffee","Caribou Coffee, both"
"Starbucks, as both serve","Gloria Jean's Coff","The Coffee Club, as both","The Coffee Club, as both","Lindt Café, as","Starbucks, as both offer","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
"Starbucks.","The Coffee Club.","Gloria Jean's Coff","Doughnut Time.","Lindt Cafe.","Starbucks.","Gloria Jean's Coff","Hudsons Coffee.","Merlo Coffee."
"Hudsons Coffee.","Merlo Coffee.","Michel's Patisserie","Doughnut Time.","San Churro.","Hungry Jack's.","Zarraffa's Coffee.","Gloria Jean's Coff","McCafe."
"The Coffee Club in the sense","Gloria Jean's Coff","Muffin Break in the","Gelato Messina in","Oliver Brown in the sense","Starbucks in the sense","Costa Coffee in the","Jamaica Blue in the","Merlo Coffee, in the"
"Starbucks in Australia.","The Coffee Club.","Gloria Jean's Coff","Gelato Messina.","San Churro Chocol","Starbucks.","Gloria Jean's Coff","Hudsons Coffee","Merlo Coffee."
"Coffee Club.","The Coffee Club.","Hudsons Coffee.","Doughnut Time.","Gloria Jean's Coff","Starbucks.","Costa Coffee.","Hudsons Coffee.","Di Bella Coffee."
"Starbucks.","Gloria Jean's Coff","The Coffee Club.","Max Brenner. Both are","San Churro, as","Starbucks.","Gloria Jean's Coff","Gloria Jean's Coff","The Coffee Club."
