"Blues","Brumbies","Chiefs","Crusaders","Drua","Force","Highlanders","Hurricanes","Moana Pasifika","Rebels","Reds","Waratahs"
"Crusaders in that they","Reds in that they both","Hurricanes in that they both","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they both","Chiefs in that they both","Force in that they are both","Waratahs in that they","Brumbies in that they"
"Crusaders in that they","Reds in that they both","Crusaders in that they","Blues in that they both","Moana Pasifika in","Rebels in that they","Hurricanes in that they both","Chiefs in that they both","Fijian Drua","Waratahs in that they","Western Force in that they both","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they are","Reds in that they both","Highlanders in that they are","Blues in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Highlanders in that they both","Fijian Drua","Western Force in that they are","Waratahs in that they","Crusaders in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Fij","The Super Rugby team Western Force","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels,","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Hurricanes in that they both","Highlanders in that they both","Blues in that they both","Moana Pasifika in","Moana Pasifika in","Chiefs in that they both","Blues in that they both","Fijian Drua","Waratahs in that they","Crusaders in that they","Rebels in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they are","Crusaders in that they","Hurricanes in that they are","Blues in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they are","Blues in that they are","The Super Rugby team Moana","Force in that they are both","Waratahs in that they","Reds in that they are"
"Hurricanes in that both teams","Reds in that both teams","Blues in that both teams","Highlanders in that both teams","Moana Pasifika in","Rebels in that both","Crusaders in that both","Crusaders in that both","Fijian Drua","Waratahs in that both","Waratahs in that both","Brumbies in that both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in the sense","Reds in that both teams","Hurricanes in that both teams","Blues in that both teams","Moana Pasifika in","Waratahs in that both","Chiefs in that both teams","Blues in that both teams","Fijian Drua","Waratahs in that both","Brumbies in that both","Brumbies in that both"
"Crusaders in that they","Chiefs in that they both","Hurricanes in that they both","Highlanders in that they both","Moana Pasifika in","Hurricanes in that they both","Waratahs in that they","Blues in that they both","Fijian Drua","Crusaders in that they","Blues in that they both","Reds in that they both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Reds in that they both","Hurricanes in that they both","Blues in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Blues in that they both","Drua in that they","Crusaders in that they","Waratahs in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that both teams","Crusaders in that they","Hurricanes in that both teams","Chiefs in that both teams","Moana Pasifika in","Rebels in that both","Chiefs in that both teams","Blues in that both teams","Fijian Drua","Highlanders in that both teams","Waratahs in that both","Blues in that both teams"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Western Force","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds,","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force,","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Crusaders in the sense","Blues in that they both","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Blues in that they both","Chiefs in that they both","Drua in that they","Force in that they both","Waratahs in that they","Reds in that they both"
"Crusaders in that they","Reds in that they both","Highlanders in that they both","Blues in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they are","Chiefs in that they both","Fijian Drua","Waratahs in that they","Brumbies in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","Moana Pasifika,","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that both","Waratahs in that both","Blues in that both teams","Blues in that both teams","Moana Pasifika in","Rebels in that both","Chiefs in the sense that","Highlanders in that both teams","Fijian Drua","Crusaders in the sense","Waratahs in that both","Reds in that both teams"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds,","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in terms of being","Waratahs in terms of","Highlanders in terms of being","Chiefs in terms of being","Moana Pasifika in","Rebels in terms of","Blues in terms of being","Blues in terms of being","Fijian Drua","Waratahs in terms of","Crusaders in terms of","Reds in terms of being"
"Hurricanes in that they both","Reds in that they both","Blues in that they both","Blues in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Crusaders in that they","Fijian Drua","Waratahs in that they","Brumbies in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Reds in that they both","Highlanders in that they both","Blues in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Blues in that they both","Fijian Drua","Crusaders in that they","Waratahs in that they","Brumbies in that they"
"Crusaders in that they","Reds in that they both","Hurricanes in that they both","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they both","Fijian Drua","Waratahs in that they","Waratahs in that they","Brumbies in that they"
"Crusaders in that both","Waratahs in that both","Crusaders in that both","Blues in that both are","Moana Pasifika in","Rebels in that both","Blues in that both are","Chiefs in that both are","Fijian Drua","Waratahs in that both","Waratahs in that both","Brumbies in that both"
"Crusaders in that both","Crusaders in the sense","Highlanders, as both are","Chiefs in that both are","Moana Pasifika in","the Western Force is an Australian","Hurricanes in that both are","Blues, as both are","The Super Rugby team Moana","Waratahs in that both","Waratahs, as both","Reds in that both are"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force,","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Waratahs in that they","Blues in that they both","Chiefs in that they are","Moana Pasifika in","Crusaders in that they","Hurricanes in that they both","Blues in that they both","the Fijian Dru","Reds in that they are","Waratahs in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Waratahs in that they","Crusaders in that they","Blues in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Highlanders in that they both","Fijian Drua","Reds in that they both","Waratahs in that they","Brumbies in that they"
"Crusaders in that they","Reds in that they are","Hurricanes in that they are","Blues in that they are","Moana Pasifika in","Rebels in that they","Chiefs in that they are","Highlanders in that they are","Fijian Drua","Waratahs in that they","Brumbies in that they","Reds in that they are"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Waratahs in that they","Crusaders in that they","Chiefs in that they are","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they are","Fijian Drua","Waratahs in that they","Brumbies in that they","Reds in that they are"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","Moana Pasifika in","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Western Force in that they both","Hurricanes in that they both","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Blues in that they both","Crusaders in that they","Fijian Drua","Waratahs in that they","Waratahs in that they","Reds in that they both"
"Crusaders in that they","Crusaders in that they","Blues in that they are","Hurricanes in that they both","Moana Pasifika in","Waratahs in that they","Chiefs in that they both","Chiefs in that they are","Fijian Drua","Crusaders in that they","Waratahs in that they","Reds in that they are"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Chiefs in that both teams","Waratahs in that both","Hurricanes in that both teams","Highlanders in that both teams","Moana Pasifika in","Rebels in that both","Crusaders in that both","Crusaders in that both","Fijian Drua","Force in being based in Australia","Waratahs in that both","Brumbies in that both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Waratahs in that they","Crusaders in that they","Chiefs in that they both","Moana Pasifika in","Moana Pasifika in","Hurricanes in that they both","Blues in that they both","Fijian Drua","Highlanders in that they both","Brumbies in that they","Chiefs in that they both"
"Hurricanes in that they both","Reds in that they both","Highlanders in that they both","Blues in that they both","Moana Pasifika in","Waratahs in that they","Crusaders in that they","Chiefs in that they both","Fijian Drua","Crusaders in that they","Brumbies in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","Blues in that both are","Moana Pasifika in","The Super Rugby team Force is","Chiefs in that both are","Brumbies in that both","Fijian Drua","The Super Rugby team Rebels is","The Super Rugby team Reds is","Hurricanes in that both are"
"Chiefs in that they both","Reds in that they both","Blues in that they both","Hurricanes in that they both","Moana Pasifika in","Waratahs in that they","Crusaders in that they","Crusaders in that they","Fijian Drua","Brumbies in that they","Waratahs in that they","Reds in that they both"
"""The Super Rugby team Blues is","""The Super Rugby team Brumb","""The Super Rugby team Chiefs is","""The Super Rugby team Crusaders","""The Super Rugby team Dru","""The Super Rugby team Force is","""The Super Rugby team Highlanders","""The Super Rugby team Hurricanes is","""The Super Rugby team Moana","The Super Rugby team Rebels is","""The Super Rugby team Reds is","""The Super Rugby team Warata"
"Chiefs in that both are","Reds in that both teams","Hurricanes in that both are","Blues in that both teams","Moana Pasifika in","Rebels in that both","Crusaders in that both","Blues in that both are","Fijian Drua","Brumbies in that both","Waratahs in that both","Crusaders in that both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Reds in that they both","Crusaders in that they","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Blues in that they both","Blues in that they both","Jaguares in that it","Waratahs in that they","Waratahs in that they","Brumbies in that they"
"Hurricanes in that they both","Waratahs in that they","Hurricanes in that they both","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Blues in that they both","Fijian Drua","Waratahs in that they","Brumbies in that they","Reds in that they both"
"Chiefs in that both are","Waratahs in that both","Blues in that both are","Blues in that both are","Moana Pasifika in","Rebels in that both","Crusaders in that both","Chiefs in that both are","Fijian Drua","Waratahs in that both","Waratahs in that both","Brumbies in that both"
"Crusaders in that they","Waratahs in that they","Hurricanes in that they are","Blues in that they are","Moana Pasifika in","Rebels in that they","Blues in that they are","Chiefs in that they are","Drua in that they","Force in that they are both","Crusaders in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Waratahs in that they","Blues in that they both","Chiefs in that they both","Moana Pasifika in","Rebels in that they","Hurricanes in that they both","Chiefs in that they both","Fijian Drua","Blues in that they both","Crusaders in that they","Queensland Reds in that"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they are","Reds in that they are","Blues in that they are","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they are","Chiefs in that they are","Fijian Drua","Waratahs in that they","Waratahs in that they","Brumbies in that they"
"Chiefs in that they both","Waratahs in that they","Blues in that they both","Highlanders in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Crusaders in that they","Fijian Drua","Brumbies in that they","Waratahs in that they","Brumbies in that they"
"Chiefs in that they both","Waratahs in that they","Hurricanes in that they both","Blues in that they both","Moana Pasifika in","Rebels in that they","Chiefs in that they both","Crusaders in that they","Drua in that they","Western Force in that they both","Waratahs in that they","Reds in that they both"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","Moana Pasifika,","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that both are","Reds in that both are","Blues in that both are","Highlanders in that both are","Moana Pasifika in","Rebels in that both","Chiefs in that both teams","Highlanders in that they are","Crusaders in that both","Waratahs in that both","Waratahs in that both","Brumbies in that both"
"Hurricanes in that they both","Reds in that they both","Hurricanes in that they are","Blues in that they are","Moana Pasifika in","Rebels in that they","Crusaders in that they","Chiefs in that they both","Fijian Drua","Waratahs in that they","Brumbies in that they","Rebels in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force,","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Hurricanes in that they both","Reds in that they both","Crusaders in that they","Blues in that they both","Moana Pasifika in","Rebels in that they","Crusaders in that they","Chiefs in that they both","Fijian Drua","Brumbies in that they","Waratahs in that they","Brumbies in that they"
"The Super Rugby team Blues is","The Super Rugby team Brumb","The Super Rugby team Chiefs is","The Super Rugby team Crusaders","The Super Rugby team Dru","The Super Rugby team Force is","The Super Rugby team Highlanders","The Super Rugby team Hurricanes is","The Super Rugby team Moana","The Super Rugby team Rebels is","The Super Rugby team Reds is","The Super Rugby team Warata"
"Crusaders in that they","Waratahs in that they","Crusaders in that they","Blues in that they both","Moana Pasifika in","Rebels in that they","Hurricanes in that they both","Chiefs in that they both","Fijian Drua","Western Force in that they both","Waratahs in that they","Reds in that they both"
